quarter,fed_funds,term_spread,gdp_growth,unemp_rate,vix,hpi_growth,loan_growth
2008-01-01,4.524835707650562,-0.06725509310082808,1.5240920839764105,4.963191782599569,23.29210220131585,3.056758672625624,1.3846707866444574
2008-04-01,3.784753451608107,0.2872708705547642,1.3852968449941145,5.886939575346377,33.63342589545105,1.6643986705938567,0.8528598781802197
2008-07-01,3.1157177602383674,0.6481005297793808,-0.7769443859124492,6.8665728355561715,45.096420028643195,0.45967507473934255,-0.2758164863007633
2008-10-01,2.4511514928204012,1.0085408339344695,-1.6793810630665553,7.8776284572551845,53.38338283310604,-2.6189077494134247,-2.8472186209214216
2009-01-01,1.6549589979304997,0.8837187411595276,-2.9138847078820977,8.988434743587884,38.927044436110045,-2.600149979338534,-4.097592565201486
2009-04-01,0.946626485485874,1.1695973101882835,-4.467471215047813,10.051172796222497,29.019396623402013,-6.309377233094585,-5.51043828486522
2009-07-01,0.3289606407753696,1.1247280642658821,-3.5428708741939916,10.041503619899503,23.904450052424295,-7.075892547517792,-5.3646946669957085
2009-10-01,0.16837173645764544,1.1504368230425386,-2.7706553583538613,9.980834244112161,22.324687884372963,-8.37250806342438,-6.015986224721842
2010-01-01,0.1065262807032524,1.6711735713875737,-1.826444364039924,9.7154637972952,20.068357759855722,-10.192837399465818,-6.022991508597974
2010-04-01,0.15712800217929823,1.7919216064889163,-1.57804069620361,9.788300381843868,17.022599478591275,-12.311349759910296,-6.033131447490359
2010-07-01,0.10682911535937689,1.4499487349971034,0.27540343866015415,9.387328502041333,20.21591613398799,-12.104061125178637,-6.373188686308055
2010-10-01,0.10671351232148715,1.7188691707765598,0.08211671774023088,9.691809158772227,16.950878533477017,-9.846500467329417,-5.89297905199009
2011-01-01,0.1420981135783017,1.547779572188418,1.8061714089486793,9.234390642705291,10.962286120013589,-7.494682378472106,-3.717886848316755
2011-04-01,0.05,1.323720061348719,3.3761822503239913,8.868723663834855,14.279681472154142,-4.375198951489488,-1.5672063386041548
2011-07-01,0.05,1.5753489013771036,1.9037854699477244,8.693420179344887,13.007320302847418,-2.2214922570174767,-1.0029175263201935
2011-10-01,0.10188562353795137,1.8539434545551068,2.073480908158891,8.783181673097289,15.278650002194336,-0.3464547976303271,0.5141500609854557
2012-01-01,0.07935844398327882,1.4672359570275284,2.339860546035056,8.53404814976869,12.811218892350949,0.44979993771662535,0.48998782340628066
2012-04-01,0.1457123666297637,1.8474472039645724,2.0986097383535203,8.531424398438139,13.827895337799651,0.5014758473948264,-0.40377637362995517
