quarter,loan_bal,nii,niinc,nie,ppnr
2008-01-01,800.0,5.370271833920604,4.1927474475114375,6.016851969743137,3.5461673116889036
2008-04-01,801.7057197563604,5.417574347871872,4.228673887081891,6.081244650193543,3.5650035847602197
2008-07-01,801.1529106196843,5.7258914589068555,2.6072913293786644,5.518179090842859,2.81500369744266
2008-10-01,795.45026690638,6.010138198949046,1.9772733408105159,5.498821104091408,2.4885904356681543
2009-01-01,787.3016891572221,4.855106889142396,2.234828214322037,5.321048422751201,1.7688866807132317
2009-04-01,776.4557457330445,4.800382016951206,1.757092158012581,5.301079712741415,1.2563944622223717
2009-07-01,766.0421257373139,4.565774409906,2.6323187531909484,5.612356172559873,1.5857369905370753
2009-10-01,754.520878547333,4.328996155382637,2.629844567948283,5.53779714655029,1.4210435767806286
2010-01-01,743.1596964359569,5.026664370256885,2.7529672244961465,5.771964577209759,2.0076670175432723
2010-04-01,731.950746098269,5.34757194623122,2.3259364110917775,5.994839743310246,1.6786686140127518
2010-07-01,720.2885955633484,4.5051617658843375,3.1254462436262296,5.48553052718049,2.145077482330077
2010-10-01,709.6769815507429,4.900762019410082,2.700697335016167,6.111791522050804,1.4896678323754449
2011-01-01,703.0807347600913,4.707363115167442,3.936601054254083,6.156450994494686,2.487513174926838
2011-04-01,700.3260532999251,3.960804207318769,4.735123536505488,5.767644307278795,2.9282834365454615
2011-07-01,698.5701301174422,4.447775099805325,3.8980351106326236,5.574412570465787,2.771397639972161
2011-10-01,699.4680548049486,5.142538670436015,4.0948274596404675,6.404474593856727,2.8328915362197558
2012-01-01,700.3248818792389,4.393116875395187,4.471210147761178,6.00370986703601,2.8606171561203535
2012-04-01,699.6179452763189,5.301410379061039,4.241797340986779,6.5967010173410525,2.946506702706765
2012-07-01,699.2878523984745,3.246862560982552,3.914245773048958,5.166351634246361,1.9947566997851496
2012-10-01,698.3665015598438,4.748376127670753,4.433983077082508,6.170060916842112,3.0122982879111495
2013-01-01,698.5314473144258,4.845176014027245,4.166166184761667,5.90757487038453,3.1037673284043814
2013-04-01,699.2133846553497,4.45754325443049,4.645664253689229,5.767313973277377,3.3358935348423433
2013-07-01,700.8717134717608,4.685478584761276,4.285957909395122,5.934454364717748,3.0369821294386483
2013-10-01,701.7154451463426,3.5321371892503928,5.112651303496848,5.962457358639349,2.6823311341078915
2014-01-01,704.0222227707511,4.494548502596941,4.219693434619948,5.8921924202475,2.8220495169693907
2014-04-01,708.4322743827396,4.911329110668591,4.483836089654872,5.942471398157915,3.452693802165548
2014-07-01,711.2973985318578,5.253992344564008,5.022422053072469,6.7230196643335365,3.553394733302939
2014-10-01,714.1046701353457,4.592341123425731,4.187989772271632,5.925235421641063,2.8550954740563013
2015-01-01,718.5405317547038,4.377491017830474,4.6577090271569155,5.750023744146595,3.285176300840795
2015-04-01,721.7203021373667,4.5822778676818565,5.068911781833506,6.294707863378035,3.356481786137328
2015-07-01,725.3015636519114,5.224650048498313,4.310408859078512,6.24763279116647,3.287426116410355
2015-10-01,729.9542146498962,5.3778613683797785,4.9083008034311995,6.368384127822916,3.917778043988063
2016-01-01,734.8237901407061,4.736539476230521,4.844888138835925,6.2681090864905755,3.31331852857587
2016-04-01,738.8916796037269,5.10475904048038,5.161316618754694,6.681830343560964,3.58424531567411
2016-07-01,743.9530049981006,5.239504973352566,4.495150634490818,6.510647140481636,3.224008467361747
2016-10-01,749.7016725577666,5.393784667040127,4.426399889570357,6.53835853595289,3.2818260206575953
2017-01-01,758.3338291830598,4.946307156245574,5.181023067333898,6.132405100473434,3.9949251231060376
2017-04-01,766.2400388922132,4.852252611705025,5.046094738510799,6.082791046094154,3.815556304121672
2017-07-01,776.3547257700935,4.98426209016756,5.244971078905489,6.575169015252883,3.6540641538201646
2017-10-01,782.3074484785386,4.778739531771216,5.192094054332579,6.405916609805879,3.5649169762979165
2018-01-01,789.5831199646301,5.764837950818124,4.668471100581686,6.677767707425746,3.7555413439740644
2018-04-01,796.2174137729975,5.674526722168317,5.004880330702401,7.512684860062905,3.166722192807814
2018-07-01,805.735321952307,5.64226542391239,4.638413515887883,6.547575656138484,3.733103283661789
2018-10-01,810.545069949479,5.5425578101433794,4.657598380071644,6.62693092824461,3.5732252619704123
2019-01-01,812.8840876363295,4.931501125716246,4.563462844540075,6.22273599696729,3.2722279732890316
2019-04-01,810.4765617521807,5.519141748129192,3.023442377176526,5.957225427043744,2.585358698261974
2019-07-01,805.7304853381469,4.445394074702143,4.83945433939249,6.904309454787343,2.380538959307289
2019-10-01,813.1759814541689,5.134351283450077,6.079618954368928,7.339426955829879,3.8745432819891263
2020-01-01,821.1823590204443,5.567846454626144,5.246671088029157,6.65243791137543,4.162079631279872
2020-04-01,831.0535084144211,5.5684331338569555,5.538961079114466,6.894920495179252,4.212473717792169
2020-07-01,841.7394963544652,6.734125479522639,4.603592508558779,6.96789526808033,4.369822720001089
2020-10-01,854.4264019200521,5.905014999079197,4.553538827895103,6.598223428398345,3.860330398575954
2021-01-01,867.3544085563266,6.03352719950254,5.332418792209706,7.504576720143041,3.861369271569205
2021-04-01,878.7232405429305,6.289608485304163,5.244253678931436,6.678320624732916,4.855541539502684
2021-07-01,890.8223727890279,5.518849231929879,5.562351035278031,6.940259673282341,4.140940593925569
2021-10-01,906.736730295908,6.602896214020716,6.010735141085308,7.29439826638907,5.319233088716954
